0	594
0	2433
0	494
0	673
0	1862
0	582
0	1982
0	644
0	840
1	474
1	1290
1	1590
1	919
1	1520
1	31
1	1914
1	98
1	1369
2	370
2	118
2	3163
2	2615
2	1309
2	3072
2	3176
2	258
2	3187
3	415
3	698
3	172
3	1835
3	988
3	3240
3	1248
3	2753
3	3208
4	501
4	693
4	2309
4	2504
4	2697
4	630
4	1331
4	3403
4	1801
5	3121
5	1852
5	2829
5	1800
5	3200
5	3333
5	3250
5	556
5	21
6	3572
6	3580
6	3611
6	1249
6	1196
6	1745
6	3429
6	2038
6	3553
7	2737
7	2255
7	2874
7	3607
7	1495
7	3361
7	2309
7	501
7	405
8	3419
8	3613
8	3344
8	468
8	1651
8	687
8	966
8	709
8	2946
9	2236
9	485
9	984
9	919
9	2501
9	3385
9	930
9	2724
9	1872
10	3407
10	3606
10	738
10	1562
10	66
10	488
10	3341
10	1922
10	3219
11	1144
11	1158
11	1733
11	1478
11	1587
11	2242
11	969
11	3079
11	1283
12	1402
12	1457
12	158
12	294
12	1265
12	235
12	1745
12	1643
12	285
13	807
13	1244
13	173
13	530
13	301
13	625
13	920
13	240
13	2633
14	1744
14	1020
14	560
14	1727
14	3137
14	54
14	389
14	1764
14	1537
15	111
15	2844
15	2519
15	677
15	3591
15	613
15	191
15	1067
15	2670
16	1818
16	1434
16	2938
16	778
16	1522
16	721
16	3619
16	689
16	983
17	308
17	412
17	643
17	598
17	421
17	710
17	738
17	3560
17	114
18	1958
18	1097
18	617
18	279
18	840
18	1060
18	710
18	2077
18	655
19	2602
19	1821
19	3266
19	3391
19	1485
19	1258
19	952
19	3267
19	1120
20	2023
20	2282
20	338
20	657
20	843
20	2264
20	717
20	877
20	2273
21	5
21	2063
21	888
21	857
21	762
21	3374
21	2402
21	1917
21	556
22	1017
22	3446
22	1415
22	353
22	424
22	627
22	1674
22	1652
22	1816
23	2346
23	3465
23	1366
23	1056
23	1516
23	2295
23	3584
23	2427
23	3580
24	562
24	2055
24	1900
24	2151
24	655
24	3597
24	577
24	3033
24	796
25	110
25	1566
25	1352
25	1726
25	2486
25	1392
25	1640
25	211
25	2738
26	3005
26	1540
26	660
26	413
26	1299
26	3079
26	797
26	802
26	259
27	1227
27	1690
27	2519
27	1409
27	3138
27	3582
27	2597
27	3402
27	3194
28	341
28	3455
28	3005
28	645
28	3054
28	3042
28	3052
28	3043
28	3045
29	2132
29	3496
29	395
29	505
29	2188
29	2547
29	2051
29	748
29	1913
30	2781
30	3310
30	2726
30	1210
30	3355
30	703
30	1495
30	2910
30	2149
31	1448
31	495
31	331
31	386
31	598
